CodTransaccion,NroFormulario,CodCampus,Marca,Categoria,Tipo,ValUnid,Proveedor,NroSerial,EmpresaResponsable,Estado,Historial
327,966217823,CPU001,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39173,Campuslands,0,[]
327,966217823,MON001,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070723,Campuslands,0,[]
327,966217823,TEC001,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091706,Campuslands,0,[]
327,966217823,MOU001,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU002,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39208,Campuslands,0,[]
327,966217823,MON002,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070880,Campuslands,0,[]
327,966217823,TEC002,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090718,Campuslands,0,[]
327,966217823,MOU002,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU003,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39182,Campuslands,0,[]
327,966217823,MON003,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070018,Campuslands,0,[]
327,966217823,TEC003,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090717,Campuslands,0,[]
327,966217823,MOU003,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU004,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39190,Campuslands,0,[]
327,966217823,MON004,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070876,Campuslands,0,[]
327,966217823,TEC004,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090719,Campuslands,0,[]
327,966217823,MOU004,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU005,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39186,Campuslands,0,[]
327,966217823,MON005,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070838,Campuslands,0,[]
327,966217823,TEC005,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091718,Campuslands,0,[]
327,966217823,MOU005,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU006,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39198,Campuslands,0,[]
327,966217823,MON006,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070638,Campuslands,0,[]
327,966217823,TEC006,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091719,Campuslands,0,[]
327,966217823,MOU006,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU007,Compumax,Equipo de computo,Cpu,,Compumax Computer ,102SN55107,Campuslands,0,[]
327,966217823,MON007,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070037,Campuslands,0,[]
327,966217823,TEC007,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091731,Campuslands,0,[]
327,966217823,MOU007,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU008,Compumax,Equipo de computo,Cpu,,Compumax Computer ,102SN55106,Campuslands,0,[]
327,966217823,MON008,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070115,Campuslands,0,[]
327,966217823,TEC008,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091732,Campuslands,0,[]
327,966217823,MOU008,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU009,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39204,Campuslands,0,[]
327,966217823,MON009,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070874,Campuslands,0,[]
327,966217823,TEC009,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090731,Campuslands,0,[]
327,966217823,MOU009,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU010,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39214,Campuslands,0,[]
327,966217823,MON010,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070105,Campuslands,0,[]
327,966217823,TEC010,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090732,Campuslands,0,[]
327,966217823,MOU010,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU011,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39189,Campuslands,0,[]
327,966217823,MON011,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070010,Campuslands,0,[]
327,966217823,TEC011,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091733,Campuslands,0,[]
327,966217823,MOU011,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU012,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39223,Campuslands,0,[]
327,966217823,MON012,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070109,Campuslands,0,[]
327,966217823,TEC012,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090703,Campuslands,0,[]
327,966217823,MOU012,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU013,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39229,Campuslands,0,[]
327,966217823,MON013,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070502,Campuslands,0,[]
327,966217823,TEC013,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090708,Campuslands,0,[]
327,966217823,MOU013,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU014,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39178,Campuslands,0,[]
327,966217823,MON014,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070136,Campuslands,0,[]
327,966217823,TEC014,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091708,Campuslands,0,[]
327,966217823,MOU014,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU015,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39196,Campuslands,0,[]
327,966217823,MON015,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070001,Campuslands,0,[]
327,966217823,TEC015,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091707,Campuslands,0,[]
327,966217823,MOU015,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU016,Compumax,Equipo de computo,Cpu,,Compumax Computer ,102SN55081,Campuslands,0,[]
327,966217823,MON016,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070846,Campuslands,0,[]
327,966217823,TEC016,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090709,Campuslands,0,[]
327,966217823,MOU016,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU017,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39183,Campuslands,0,[]
327,966217823,MON017,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070211,Campuslands,0,[]
327,966217823,TEC017,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091709,Campuslands,0,[]
327,966217823,MOU017,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU018,Compumax,Equipo de computo,Cpu,,Compumax Computer ,102SN55098,Campuslands,0,[]
327,966217823,MON018,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070733,Campuslands,0,[]
327,966217823,TEC018,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090710,Campuslands,0,[]
327,966217823,MOU018,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU019,Compumax,Equipo de computo,Cpu,,Compumax Computer ,102SN55108,Campuslands,0,[]
327,966217823,MON019,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070287,Campuslands,0,[]
327,966217823,TEC019,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130091748,Campuslands,0,[]
327,966217823,MOU019,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU020,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39224,Campuslands,0,[]
327,966217823,MON020,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070629,Campuslands,0,[]
327,966217823,TEC020,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090748,Campuslands,0,[]
327,966217823,MOU020,Compumax,Equipo de computo,Mouse,,Compumax Computer ,,Campuslands,0,[]
327,966217823,CPU021,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39179,Campuslands,0,[]
327,966217823,MON021,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070188,Campuslands,0,[]
